sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As
ATM-01,102.380006,29.68202,5.45,0.1846154,0.20115385,0.0830769,1.41403845,0.3423077,0.0176923,0.0446154
ATM-02,102.533274,29.630763,6.26,0.2101923,0.08634615,0.03326925,5.3301923,0.64634615,0.07,0.0273077
ATM-03,102.617329,29.58722,6.3,0.10346155,0.0980769,0.0251923,0.6176923,0.1819231,0.0075,0.0278846
ATM-04,102.622679,29.511755,5.48,0.08403845,0.07846155,0.03615385,0.60884615,0.1526923,0.00673075,0.0119231
ATM-05,102.636383,29.453064,5.97,0.0576923,0.08134615,0.12365385,0.8903846,0.1348077,0.00884615,0.01365385
ATM-06,102.628967,29.41831,6.17,0.0726923,0.42673075,1.2851923,1.0469231,0.1944231,0.0069231,0.01403845
ATM-07,102.627751,29.373872,5.78,0.14865385,0.09596155,0.0378846,1.47384615,0.30076925,0.01153845,0.0176923
ATM-08,102.690406,29.357625,5.77,0.08903845,0.0405769,0.02365385,1.3896154,0.18134615,0.01673075,0.0103846
ATM-09,102.758528,29.344732,6.67,0.05596155,0.0378846,0.02865385,1.8030769,0.2055769,0.0153846,0.0103846
ATM-10,102.738911,29.291371,5.58,0.1023077,0.0621154,0.0398077,1.1398077,0.1698077,0.01134615,0.00653845
ATM-11,102.663412,29.28465,5.59,0.1123077,0.1130769,0.05423075,1.0376923,0.18615385,0.01076925,0.0148077
ATM-12,102.605902,29.240918,5.67,0.70576925,0.15346155,0.0680769,8.8426923,1.01326925,0.06173075,0.0101923
ATM-13,102.828423,29.27897,6.24,0.20384615,0.11576925,0.14115385,1.2580769,0.215,0.0119231,0.02115385
ATM-14,102.862542,29.288443,5.38,0.0780769,0.07884615,0.0296154,0.7380769,0.2723077,0.01173075,0.015
ATM-15,102.895864,29.345854,5.59,0.22923075,0.1103846,0.04326925,7.7501923,0.55846155,0.0475,0.04096155
ATM-16,102.720514,29.33785,5.92,0.92653845,0.06865385,0.02884615,48.82115385,3.98576925,0.34826925,0.11903845
ATM-17,102.725948,29.334536,6.08,0.40384615,0.05,0.02884615,14.96384615,1.84615385,0.1703846,0.0369231
ATM-18,102.721447,29.344108,5.83,2.1321154,0.09153845,0.0596154,191.5761539,11.6248077,1.25615385,0.3301923
ATM-19,102.720227,29.348406,6.51,2.0971154,0.1603846,0.0828846,100.8976923,6.47346155,0.8298077,0.1855769
ATM-20,102.714444,29.349298,5.64,0.65384615,0.0930769,0.03096155,26.93865385,1.6630769,0.21884615,0.05076925
ATM-21,102.731272,29.402203,5.33,3.1955769,0.8971154,0.22173075,151.6901923,20.4580769,1.88846155,0.89326925
ATM-22,102.72776,29.403312,5.51,0.4498077,0.22096155,0.0801923,33.48423075,2.7501923,0.39903845,0.1671154
ATM-23,102.715199,29.392042,5.97,0.8819231,0.2026923,0.06384615,85.75096155,3.7575,0.84153845,0.1975
ATM-24,102.71804,29.378791,6.05,1.31403845,0.3703846,0.3776923,83.8728846,5.7973077,0.85326925,0.2803846
ATM-25,102.718522,29.370793,6.41,0.4025,0.10634615,0.03615385,26.58615385,1.73403845,0.2376923,0.0905769
ATM-26,102.622806,29.455476,5.35,0.2205769,0.1075,0.0355769,1.16576925,0.23634615,0.0144231,0.02346155
ATM-27,102.624453,29.451955,5.5,0.2225,0.1523077,0.0580769,2.52173075,0.5755769,0.0271154,0.02884615
ATM-28,102.622145,29.450266,6.76,0.07673075,0.0525,0.01923075,1.04153845,0.1305769,0.0076923,0.0119231
ATM-29,102.619177,29.45071,5.73,0.07826925,0.08673075,0.0380769,0.83576925,0.25826925,0.0094231,0.0105769
ATM-30,102.61527,29.45013,5.46,0.1176923,0.08923075,0.0648077,0.8478846,0.2203846,0.0101923,0.00846155
ATM-31,102.616354,29.445862,6.31,0.15134615,0.1225,0.02173075,4.3475,0.7698077,0.04903845,0.0201923
