sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As,Pb_available,Cd_available
R-69,102.392423,29.679428,4.54,14,50,21,40,25.1,0.21,5.52,2.74,0.034
R-70,102.625868,29.587858,5.92,30,51,13,78,34.5,0.48,9.56,4.45,0.066
R-71,102.545457,29.542194,8.22,36,79,27,213,34.1,0.88,1.62,4.01,0.202
R-72,102.622287,29.506322,6.31,35,63,24,144,49.8,0.66,5.33,6.95,0.202
R-73,102.614748,29.448599,7.57,29,56,24,167,84.6,1.14,6.26,13.2,0.266
R-74,102.648488,29.43926,8.14,28,81,27,414,118,2.64,14.2,19.6,0.602
R-75,102.616217,29.38827,7.28,27,101,34,61,34.3,0.3,18.6,1.7,0.018
R-76,102.708733,29.364927,5.86,26,65,17,173,36,2.33,6.49,5.86,0.784
R-77,102.656617,29.300146,7.66,37,89,33,124,35.9,0.11,13.2,1.82,0.084
R-78,102.711833,29.234273,5.11,41,117,54,126,36,1.26,11.7,3.08,0.08
R-79,102.858854,29.292573,5.15,19,49,9,77,24.6,0.09,6.63,1.48,0.037
R-80,102.86885,29.350607,7.59,23,78,32,134,42.6,0.43,14.4,4.6,0.152
