sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As
FER-1,102.380256,29.681436,5.83,0.0058846,0.04846155,0.0195,0.1205769,0.00346154,0.000865385,0.0061731
FER-2,102.380256,29.681436,2.16,0.1598077,0.7153846,0.2094231,0.9,0.2273077,0.00576925,0.0703846
FER-3,102.380256,29.681436,7.96,0.5544231,0.18865385,0.12634615,0.825,0.09865385,0.000865385,0.0173654
FER-4,102.532444,29.630088,5.82,0.0065769,0.04153845,0.0196731,0.1269231,0.00346154,0.000865385,0.00634615
FER-5,102.532444,29.630088,2.17,0.1228846,0.66346155,0.15634615,0.8019231,0.22615385,0.0080769,0.06115385
FER-6,102.532444,29.630088,7.92,0.465,0.20134615,0.11076925,0.6923077,0.08134615,0.000865385,0.01753845
FER-7,102.619198,29.586067,5.82,0.00715385,0.0219231,0.02151925,0.12,0.00346154,0.000865385,0.00623075
FER-8,102.619198,29.586067,2.18,0.16384615,0.64615385,0.21346155,0.9980769,0.2325,0.0075,0.0726923
FER-9,102.619198,29.586067,7.94,0.5630769,0.1603846,0.11596155,0.81923075,0.08423075,0.000865385,0.01684615
FER-10,102.531865,29.547765,5.81,0.00646155,0.015,0.01915385,0.11134615,0.00346154,0.000865385,0.006
FER-11,102.531865,29.547765,2.14,0.1869231,0.4996154,0.2353846,1.0269231,0.1644231,0.004615385,0.05676925
FER-12,102.531865,29.547765,7.9,0.58846155,0.19903845,0.1130769,0.76153845,0.09,0.000865385,0.01678845
FER-13,102.622843,29.511526,5.8,0.00698075,0.0069231,0.02065385,0.1130769,0.00346154,0.000865385,0.00651925
FER-14,102.622843,29.511526,2.16,0.1730769,0.5619231,0.21,0.91153845,0.19153845,0.00576925,0.05884615
FER-15,102.622843,29.511526,7.93,0.56596155,0.17423075,0.12173075,0.79615385,0.1026923,0.000865385,0.0188654
FER-16,102.636423,29.452796,5.82,0.00640385,0.01903845,0.02151925,0.1228846,0.00346154,0.000865385,0.00623075
FER-17,102.636423,29.452796,2.18,0.1730769,0.6403846,0.22326925,1.02115385,0.2001923,0.00634615,0.075
FER-18,102.636423,29.452796,7.92,0.58846155,0.1771154,0.1303846,0.8653846,0.0801923,0.000865385,0.01846155
FER-19,102.569636,29.44505,5.88,0.0058269,0.01096155,0.01898075,0.1130769,0.00346154,0.000865385,0.0061731
FER-20,102.569636,29.44505,2.25,0.1771154,0.6,0.2301923,1.02115385,0.1880769,0.00634615,0.06634615
FER-21,102.569636,29.44505,7.88,0.55903845,0.1973077,0.11134615,0.7903846,0.08653845,0.000865385,0.01921155
FER-22,102.608144,29.41598,5.83,0.0058846,0.0323077,0.0196731,0.12,0.00346154,0.000865385,0.0065769
FER-23,102.608144,29.41598,2.21,0.16326925,0.66923075,0.21403845,0.98076925,0.1926923,0.00634615,0.08134615
FER-24,102.608144,29.41598,7.85,0.5319231,0.20826925,0.1125,0.8076923,0.08826925,0.000865385,0.02001925
FER-25,102.629068,29.418169,5.87,0.0057173,0.03923075,0.01840385,0.1125,0.00346154,0.000865385,0.00709615
FER-26,102.629068,29.418169,2.25,0.18865385,0.7096154,0.24115385,1.0673077,0.22153845,0.0098077,0.0755769
FER-27,102.629068,29.418169,7.95,0.56596155,0.1903846,0.1171154,0.825,0.07903845,0.000865385,0.01690385
FER-28,102.627585,29.373896,5.87,0.00784615,0.0426923,0.0215769,0.12865385,0.00346154,0.000865385,0.0061731
FER-29,102.627585,29.373896,2.19,0.1753846,0.6519231,0.22384615,0.96923075,0.18576925,0.00634615,0.0623077
FER-30,102.627585,29.373896,7.95,0.53076925,0.22096155,0.11596155,0.77884615,0.0848077,0.000865385,0.01851925
FER-31,102.689769,29.358372,5.84,0.0059423,0.06,0.0178269,0.1026923,0.00346154,0.000865385,0.0065769
FER-32,102.689769,29.358372,2.15,0.165,0.7096154,0.2105769,0.9403846,0.18865385,0.00923075,0.0721154
FER-33,102.689769,29.358372,7.88,0.56365385,0.21403845,0.11076925,0.8076923,0.07615385,0.000865385,0.0164423
FER-34,102.723012,29.39547,5.99,0.0068654,0.0473077,0.02053845,0.11596155,0.00346154,0.000865385,0.0065769
FER-35,102.723012,29.39547,2.41,0.18576925,0.6519231,0.2469231,1.1423077,0.19903845,0.0098077,0.075
FER-36,102.723012,29.39547,7.81,0.52384615,0.2198077,0.1073077,0.7673077,0.0726923,0.000865385,0.01973075
FER-37,102.758192,29.344417,6.03,0.00703845,0.0623077,0.0201923,0.1269231,0.00346154,0.000865385,0.0066923
FER-38,102.758192,29.344417,2.34,0.1730769,0.70384615,0.23076925,1.06153845,0.20365385,0.00634615,0.0923077
FER-39,102.758192,29.344417,7.87,0.5175,0.23596155,0.10903845,0.75576925,0.0796154,0.000865385,0.02301925
FER-40,102.738333,29.291079,5.49,0.00698075,0.06576925,0.0210577,0.1205769,0.00346154,0.000865385,0.0073846
FER-41,102.738333,29.291079,2.22,0.1730769,0.66346155,0.21576925,0.9346154,0.19846155,0.000865385,0.08076925
FER-42,102.738333,29.291079,7.3,0.5325,0.20365385,0.11076925,0.7903846,0.0778846,0.000865385,0.02198075
FER-43,102.665307,29.284406,5.49,0.00651925,0.05423075,0.01973075,0.1205769,0.00346154,0.000865385,0.003865385
FER-44,102.665307,29.284406,2.35,0.16673075,0.61153845,0.2198077,1.0269231,0.1973077,0.00403846,0.0825
FER-45,102.665307,29.284406,7.38,0.5076923,0.2169231,0.10903845,0.7846154,0.0796154,0.000865385,0.0225
FER-46,102.605515,29.241104,5.58,0.00623075,0.0594231,0.0189231,0.11884615,0.00346154,0.000865385,0.0068077
FER-47,102.605515,29.241104,2.23,0.18403845,0.675,0.2371154,1.2403846,0.1973077,0.002884615,0.09173075
FER-48,102.605515,29.241104,7.49,0.5330769,0.2226923,0.1125,0.81923075,0.08423075,0.000865385,0.0246346
FER-49,102.758315,29.237735,5.5,0.0088846,0.04615385,0.0218077,0.1205769,0.00346154,0.000865385,0.00634615
FER-50,102.758315,29.237735,2.25,0.19096155,0.5030769,0.2451923,1.06153845,0.1228846,0.000865385,0.06346155
FER-51,102.758315,29.237735,7.58,0.5826923,0.24115385,0.11653845,0.8596154,0.08076925,0.000865385,0.02226925
FER-52,102.828449,29.279022,5.56,0.00940385,0.0628846,0.02076925,0.1280769,0.00346154,0.000865385,0.00351923
FER-53,102.828449,29.279022,2.39,0.1828846,0.6230769,0.2371154,1.13076925,0.1823077,0.004615385,0.0876923
FER-54,102.828449,29.279022,7.56,0.5071154,0.1880769,0.11076925,0.7730769,0.0623077,0.000865385,0.0201346
FER-55,102.862596,29.288592,5.69,0.00715385,0.03576925,0.0201346,0.1223077,0.00346154,0.000865385,0.0061154
FER-56,102.862596,29.288592,2.45,0.1828846,0.6519231,0.22673075,1.05576925,0.2273077,0.004615385,0.0894231
FER-57,102.862596,29.288592,7.47,0.6,0.21576925,0.1246154,0.89423075,0.0905769,0.000865385,0.02215385
FER-58,102.895638,29.345602,5.69,0.00556155,0.0351923,0.01840385,0.1119231,0.00346154,0.000865385,0.0066923
FER-59,102.895638,29.345602,2.31,0.1794231,0.6173077,0.22903845,1.02115385,0.2521154,0.00403846,0.0894231
FER-60,102.895638,29.345602,7.66,0.58846155,0.21173075,0.1194231,0.90576925,0.0853846,0.000865385,0.0210577
