sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As
IW-01,102.38026,29.681446,7.72,0.05115385,0.0128846,0.05076925,0.0328846,0.0053846,0.004423075,0.02134615
IW-02,102.532497,29.630052,8.18,0.0801923,0.0103846,0.04134615,0.0328846,0.0053846,0.004423075,0.02134615
IW-03,102.619186,29.586072,8,0.16884615,0.0555769,0.04173075,0.0328846,0.0080769,0.004423075,0.02134615
IW-04,102.526172,29.551318,8.57,0.2671154,0.02884615,0.0323077,0.0328846,0.0053846,0.004423075,0.02134615
IW-05,102.632104,29.523667,7.66,0.1821154,0.0501923,0.05596155,0.0328846,0.0053846,0.004423075,0.02134615
IW-06,102.615717,29.502515,7.79,0.20826925,0.02653845,0.0271154,0.0328846,0.0053846,0.004423075,0.02134615
IW-07,102.636419,29.452795,9.32,0.0630769,0.05884615,0.06634615,0.07384615,0.0053846,0.004423075,0.02134615
IW-08,102.62499,29.432467,8.73,0.13,0.05115385,0.0326923,0.1426923,0.0194231,0.004423075,0.1423077
IW-09,102.571641,29.446994,8.8,0.15134615,0.0119231,0.03653845,0.0473077,0.0053846,0.004423075,0.02134615
IW-10,102.627584,29.373893,7.91,0.2680769,0.015,0.04884615,0.16576925,2.1853846,0.004423075,0.02134615
IW-11,102.806555,29.37167,8.52,0.11903845,0.0698077,0.0526923,0.48576925,0.0446154,0.004423075,0.02134615
IW-12,102.553903,29.179301,7.54,0.1726923,0.0271154,0.02846155,0.1930769,0.0053846,0.004423075,0.06173075
IW-13,102.6055,29.241075,8.14,0.0905769,0.09865385,0.04134615,0.3069231,0.0446154,0.004423075,0.0569231
IW-14,102.665324,29.284425,8.45,0.17596155,0.0351923,0.0546154,0.09673075,0.0053846,0.004423075,0.1471154
IW-15,102.738329,29.291074,9.13,0.2305769,0.07634615,0.04846155,0.12096155,0.0053846,0.004423075,0.11153845
IW-16,102.828459,29.279021,8.25,0.11,0.0778846,0.01096155,0.0328846,0.0053846,0.004423075,0.02134615
IW-17,102.862727,29.289149,7.72,0.27134615,0.03884615,0.05403845,0.1626923,0.0053846,0.004423075,0.2219231
IW-18,102.902615,29.360957,8.48,0.20115385,0.04173075,0.0351923,0.0328846,0.0053846,0.004423075,0.06173075
IW-19,102.71102,29.33826,7.99,0.37673075,0.075,0.13423075,0.7803846,0.01903845,0.01326925,0.2419231
IW-20,102.723004,29.395466,8.17,0.25384615,0.0196154,0.0601923,0.21326925,0.01096155,0.0128846,0.05923075
IW-21,102.715504,29.401761,8.13,0.20403845,0.01423075,0.0369231,0.11826925,0.0128846,0.00576925,0.02134615
IW-22,102.721169,29.348197,7.85,0.5326923,0.0078846,0.13,0.07923075,0.00846155,0.004423075,0.0996154
IW-23,102.725638,29.334926,8.18,0.1678846,0.03326925,0.12096155,0.1475,0.0123077,0.00615385,0.4126923
IW-24,102.712463,29.383012,7.88,0.3453846,0.0128846,0.14096155,0.6475,0.0071154,0.004423075,0.0475
IW-25,102.720456,29.379104,8.19,0.1328846,0.04884615,0.0578846,0.51653845,0.23403845,0.09423075,0.1898077
IW-26,102.715322,29.35954,8.05,0.1176923,0.03326925,0.0805769,0.56346155,0.0946154,0.225,0.0853846
IW-27,102.755705,29.281016,8.44,0.20403845,0.0653846,0.04846155,0.16653845,0.00903845,0.01615385,0.10903845
IW-28,102.756275,29.2789,8.44,0.1248077,0.0478846,0.1180769,4.27673075,0.0775,0.1869231,0.0901923
IW-29,102.631688,29.404176,8.3,0.19173075,0.0273077,0.2173077,5.7896154,0.47634615,0.24096155,0.3651923
IW-30,102.631927,29.400185,8.46,0.2273077,0.0530769,0.14134615,49.69615385,0.2401923,0.0396154,0.3273077
IW-31,102.666554,29.366188,9.58,0.19115385,0.2001923,0.0526923,3.44615385,0.0053846,0.004423075,0.0876923
IW-32,102.664218,29.364426,8.24,0.14326925,0.08115385,0.02096155,1.26423075,0.0053846,0.004423075,0.0403846
IW-33,102.622839,29.511533,7.8,0.1953846,0.0305769,0.0326923,0.0328846,0.0053846,0.004423075,0.06634615
IW-34,102.629051,29.41816,7.97,0.1019231,0.02923075,0.0853846,1.36134615,0.0053846,0.004423075,0.07115385
IW-35,102.552673,29.41699,7.51,0.16846155,0.01134615,0.0494231,0.135,0.0053846,0.004423075,0.12326925
IW-36,102.588019,29.403692,7.85,0.37,0.0146154,0.0546154,0.05423075,0.0053846,0.004423075,0.0996154
IW-37,102.607846,29.421486,7.85,0.29884615,0.03653845,0.03326925,0.0328846,0.0053846,0.0146154,0.02134615
IW-38,102.586468,29.325618,8.83,0.3073077,0.03634615,0.03173075,0.10403845,0.0071154,0.004423075,0.0996154
IW-39,102.690265,29.358438,8.27,0.28134615,0.03846155,0.1019231,1.4526923,0.01923075,0.1048077,0.25134615
IW-40,102.697726,29.338681,8.18,0.05923075,0.0573077,0.0801923,0.75615385,0.025,0.3303846,0.34153845
IW-41,102.758189,29.344378,7.99,0.26,0.0378846,0.055,0.1996154,0.0053846,0.004423075,1.0246154
IW-42,102.580873,29.287547,7.55,0.2351923,0.0321154,0.25653845,0.25326925,0.0053846,0.0080769,0.02134615
IW-43,102.681869,29.219875,8.65,0.0426923,0.11384615,0.0530769,0.0328846,0.0053846,0.004423075,0.03326925
IW-44,102.706884,29.242658,8.35,0.1426923,0.1653846,0.10576925,0.8846154,0.0053846,0.0080769,0.0475
IW-45,102.651507,29.246161,8.14,0.2419231,0.05173075,0.14134615,0.0328846,0.01,0.004423075,0.07346155
IW-46,102.757475,29.237277,7.23,0.11865385,0.0926923,0.0375,0.36653845,0.01153845,0.01365385,0.0905769
