sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As
MN-01,102.380256,29.681436,9.27,102.8192308,7.98846155,4.8730769,701.5384615,2.93076925,0.3153846,0.4346154
MN-02,102.532444,29.630088,9.3,123.7192308,3.91153845,2.18076925,174.8076923,0.6653846,0.08076925,0.71153845
MN-03,102.619198,29.586067,8.79,137.05,6.0846154,2.4346154,644.9346155,0.96923075,0.1076923,0.3346154
MN-04,102.531865,29.547765,9.5,15.70384615,11.4923077,4.8730769,47.2423077,4.8346154,0.2923077,0.89615385
MN-05,102.622843,29.511526,8.79,37.8846154,12.70384615,4.29615385,121.8576923,19.10384615,0.1730769,1.48076925
MN-06,102.636423,29.452796,9.13,17.18076925,2.81923075,2.2769231,78.9730769,2.68076925,0.3346154,1.0923077
MN-07,102.569636,29.44505,9.23,19.03846155,3.5769231,2.98076925,91.73076925,2.4730769,0.3423077,2.1923077
MN-08,102.608144,29.41598,8.83,12.6923077,9.54615385,2.3076923,73.3346154,3.4923077,0.2153846,0.6
MN-09,102.629068,29.418169,9.13,26.9230769,15.9923077,4.23076925,338.7192308,34.8923077,0.43846155,0.98846155
MN-10,102.627585,29.373896,8.74,20.1269231,1.71153845,1.95384615,149.8076923,1.7,0.1846154,0.23076925
MN-11,102.689769,29.358372,7.76,9.8076923,7.46923075,3.78076925,66.98846155,3.76153845,0.61153845,0.8
MN-12,102.723012,29.39547,8.29,37.3730769,4.90384615,3.6230769,260.1923077,10.03846155,1.1153846,1.26153845
MN-13,102.758192,29.344417,7.3,14.9346154,3.75,3.01153845,105.7038462,4.23076925,0.3653846,0.48076925
MN-14,102.738333,29.291079,7.39,222.6923077,4.71153845,5.03076925,420.0653846,2.20384615,0.11153845,0.53076925
MN-15,102.665307,29.284406,7.45,80.6423077,5.96923075,3.1730769,756.153846,1.0769231,0.2153846,0.30384615
MN-16,102.605515,29.241104,8.31,12.2423077,4.5269231,3.9423077,63.9730769,5.8269231,0.1423077,0.74615385
MN-17,102.758315,29.237735,7.91,194.6807693,18.9923077,7.6923077,1672.180769,109.3538462,0.5076923,6.04615385
MN-18,102.828449,29.279022,9.35,12.8846154,5.0076923,2.5,103.9115385,3.08846155,0.4576923,0.54615385
MN-19,102.862596,29.288592,8.57,26.15384615,3.0846154,1.7,55,1.05,0.1230769,0.3423077
MN-20,102.895638,29.345602,8.91,14.7423077,4.5,1.7,52.6923077,2.39615385,0.3423077,0.3653846
MN-21,102.612503,29.410073,7.4,79.10384615,12.6346154,2.95,716.026923,3.03076925,0.0846154,0.36153845
MN-22,102.709481,29.365439,6.55,135.5115385,3.65384615,3.0769231,397.8846154,0.6230769,0.1269231,0.24615385
MN-23,102.720011,29.396293,7.26,56.79615385,4.71923075,2.2423077,268.8461539,1.0576923,0.3076923,0.51153845
MN-24,102.638,29.294221,8,12.2423077,4.25,1.0576923,130.7692308,0.93076925,0.0230769,0.28076925
MN-25,102.638,29.294221,8.67,11.0269231,4.2,1.34615385,116.2192308,1.0269231,0.05384615,0.8346154
MN-26,102.638,29.294221,7.46,34.7423077,8.79615385,1.3769231,228.0769231,0.9923077,0.06153845,0.7269231
MN-27,102.886638,29.347321,8.45,16.0269231,4.9730769,2.14615385,75.1269231,1.3076923,0.13076925,0.28076925
