sample,lon,lat,pH,Cu,Cr,Ni,Zn,Pb,Cd,As,Pb_available,Cd_available
R-01,102.531734,29.629764,4.84,48,115,86,64,39.7,0.78,4.54,5.45,0.194
R-02,102.618685,29.583828,5.43,41,54,28,114,59.9,0.59,8.91,8.28,0.112
R-03,102.616182,29.578071,4.81,52,55,25,151,78.9,0.62,9.69,4.94,0.062
R-04,102.634746,29.512859,6.15,35,69,19,205,69,1,9.06,7.03,0.198
R-05,102.621471,29.510059,5.62,34,64,17,112,42.6,0.44,4.21,4.53,0.072
R-06,102.659721,29.497788,6.58,50,106,52,174,69.4,0.59,35.9,7.62,0.138
R-07,102.609047,29.486339,6.78,37,70,21,143,45.3,0.59,4.08,6.41,0.154
R-08,102.653255,29.477342,5.9,49,130,41,191,65.4,0.66,10.6,8.6,0.244
R-09,102.626771,29.471756,8.11,52,77,28,250,77.3,1.3,11.5,7.18,0.254
R-10,102.655019,29.46378,7.86,39,69,30,206,80.2,0.63,12.6,6.5,0.18
R-11,102.641788,29.457807,7.78,43,86,30,202,60.2,2.54,11.3,6.85,0.616
R-12,102.679038,29.460241,7.15,29,59,28,264,95,1.49,29.7,,
R-13,102.632891,29.443822,7.44,29,56,26,358,99.4,1.73,11.3,16.9,0.398
R-14,102.630188,29.42546,8.06,39,95,46,168,68.4,1.07,20.2,5.13,0.178
R-15,102.575827,29.451635,6.31,24,80,34,91,29.5,0.38,3.26,1.78,0.179
R-16,102.620452,29.41486,8.21,43,97,48,207,67.7,0.64,16,8.32,0.288
R-17,102.608569,29.415845,6.93,35,84,35,135,55.3,0.6,9.6,8.35,0.294
R-18,102.598352,29.412478,6.33,48,94,40,168,62.6,0.6,9.36,9.7,0.262
R-19,102.56533,29.406023,6.6,24,95,34,87,45.9,0.67,15.4,4.25,0.275
R-20,102.624937,29.398651,8.54,33,128,95,148,63.9,1.23,26.9,8.68,0.374
R-21,102.639844,29.415926,8.32,47,96,53,339,14.8,1.2,34.2,10.8,0.3
R-22,102.626855,29.458028,7.92,32,69,23,272,83.2,4.27,6.5,14.1,1.1
R-23,102.64585,29.430593,8.07,58,131,73,187,71.3,0.72,50.9,6.76,0.086
R-24,102.684884,29.469919,6.94,94,984,239,133,41.4,0.43,9.88,1.14,0.068
R-25,102.678407,29.434019,8.65,14,13,13,488,62.2,5.12,15.1,23.2,0.708
R-26,102.696062,29.445407,7.23,17,17,24,556,19.3,4.5,17.6,16.2,0.976
R-27,102.657888,29.44718,5.95,39,84,38,188,46.1,0.48,27.3,21.2,0.144
R-28,102.657092,29.39265,6.75,29,97,29,111,31.4,1.06,21.2,3.23,0.392
R-29,102.669158,29.38022,7.64,24,97,30,91,29.1,0.34,14.6,1.85,0.244
R-30,102.692005,29.385632,5.28,61,111,43,131,37.8,1.12,20,3.9,0.272
R-31,102.697252,29.378536,5.59,228,103,70,195,26,1.49,3.75,1.21,0.27
R-32,102.712601,29.355125,5.15,107,132,58,188,34.8,1.88,9.69,7.9,0.65
R-33,102.711517,29.381484,6.83,148,115,49,168,33.4,1.33,4.15,1.49,0.226
R-34,102.712767,29.394114,7.65,43,58,12,954,149,6,16.3,20.3,2.36
R-35,102.705838,29.405178,7.58,26,97,24,251,65.9,3.21,25.9,18.5,2.75
R-36,102.720225,29.403226,6.72,30,44,12,1310,139,8.1,19.2,3.76,0.804
R-37,102.722288,29.395934,6.41,45,90,31,335,62,2.4,15.4,5.24,0.902
R-38,102.743733,29.369608,6.22,25,80,24,164,39,1.43,12.7,6.8,0.754
R-39,102.810627,29.372695,6.66,29,84,32,138,58.6,0.55,18.1,4.06,0.156
R-40,102.754257,29.341869,5.39,206,122,67,163,28.1,0.92,5.66,0.56,0.152
R-41,102.769898,29.346943,7.46,57,91,27,250,60,1.65,13.8,6.56,0.4
